100,1.27021,1.03866
111,1.23668,1.04369
123,1.28145,1.05648
136,1.12202,1.00112
150,1.30986,0.984359
165,1.22513,0.996116
182,1.28704,1.03794
201,1.22497,1.04227
222,1.19072,1.04152
245,1.23399,1.02642
270,1.2314,0.967482
297,1.2149,0.99133
327,1.17685,0.990072
360,1.2266,1.01046
397,1.2192,0.988337
437,1.19554,1.12687
481,1.16389,1.07833
530,1.07197,1.00838
583,1.27588,0.987377
642,1.26213,0.968735
707,1.28226,1.02701
778,1.15282,1.00829
856,1.18917,0.981435
942,1.21567,0.910907
1037,1.23663,0.997801
1141,1.24177,1.01747
1256,1.23034,1.01465
1382,1.2148,0.932249
1521,1.22277,0.955353
1674,1.15699,0.942537
1842,1.19247,1.01941
2027,1.16878,0.960741
2230,1.19316,0.971765
2453,1.23745,1.05803
2699,1.10357,0.901616
2969,1.21227,1.01103
3266,1.20131,0.976918
3593,1.13866,1.00354
3953,1.19024,0.99542
4349,1.24381,0.988834
4784,1.19053,1.00569
5263,1.2559,0.988114
5790,1.19976,1.00197
6370,1.20364,1.00694
7008,1.32267,0.961283
7709,1.22883,1.02523
8480,1.21421,0.959831
9328,1.17755,1.01933
10261,1.22464,1.00032
11288,1.17836,0.991399
12417,1.21495,1.00082
13659,1.16646,0.990648
15025,1.33076,1.00048
16528,1.21893,1.02311
18181,1.23095,1.02749
20000,1.28262,0.982714
22000,1.20148,0.984633
24201,1.15918,1.04887
26622,1.24711,1.00398
29285,1.24404,0.892749
32214,1.21749,1.01399
35436,1.29026,1.14498
38980,1.57054,0.875285
42878,1.68558,1.03436
47166,1.77061,0.944216
51883,2.00332,0.969934
57072,1.99116,1.00617
62780,2.04613,1.00974
69058,2.03371,1.00813
75964,2.26627,0.976429
83561,2.2929,1.02389
91918,2.32212,0.996424
101110,2.3956,0.904835
111222,2.49723,1.00487
122345,2.55084,1.02819
134580,2.77859,1.03455
148038,3.00394,1.01394
162842,3.22417,1.04437
179127,3.23237,0.956703
197040,3.33328,1.01895
216745,3.58159,1.01364
238420,4.06804,0.950978
262262,4.81736,0.952656
288489,4.9427,0.971307
317338,5.30276,1.01746
349072,5.83338,0.884745
383980,6.25045,1.06425
422379,6.63996,1.02393
464617,7.33068,0.995769
511079,7.61425,0.974207
562187,8.16328,0.987549
618406,8.42253,1.05044
680247,8.88071,0.943453
748272,9.28196,1.02449
823100,9.53422,1.01962
905411,9.84448,1.07863
995953,10.1122,1.06798
1095549,10.3997,1.0308
1205104,10.6041,1.08042
1325615,10.6792,0.979884
1458177,10.8339,1.13146
1603995,11.0139,0.988526
1764395,11.1953,1.05334
1940835,11.2116,1.03432
2134919,11.4799,1.0561
2348411,11.468,1.01721
2583253,11.627,1.08614
2841579,11.7169,0.994167
3125737,11.8506,1.08193
3438311,11.8596,1.1163
3782143,12.036,1.0514
4160358,10.9519,1.10083
4576394,11.2369,1.11508
5034034,11.5676,1.19255
5537438,12.0622,1.13986
6091182,14.206,1.1002
6700301,15.1761,0.929796
7370332,16.8142,0.981049
8107366,22.6052,1.07289
8918103,24.5396,1.00963
9809914,26.3581,1.09716
10790906,31.0208,1.07667
11869997,31.914,1.00237
13056997,30.2958,1.1069
14362697,31.7387,1.10355
15798967,35.1313,1.00826
17378864,37.9923,1.07033
19116751,40.3887,1.11517
21028427,43.283,1.13009
23131270,45.0231,1.22959
25444398,47.0693,1.03707
27988838,48.7704,1.2277
30787722,50.5228,1.12581
33866495,51.7531,1.14531
37253145,53.2321,1.11888
40978460,54.674,1.12794
45076306,55.4602,1.12474
49583937,56.5592,1.1399
54542331,57.3753,1.1346
59996565,58.5399,1.14216
65996222,59.0526,1.16143
72595845,60.1059,1.18999
79855430,60.8248,1.14319
87840973,61.5783,1.15948
96625071,62.7238,1.16693
106287579,63.2719,1.17402
116916337,63.6754,1.23275
128607971,64.4641,1.16875
141468769,64.7476,1.14353
155615646,65.5327,1.1786
171177211,65.8218,1.21457
188294933,66.2047,1.18775
207124427,66.5295,1.20384
227836870,67.0455,1.13116
250620558,67.1381,1.19915
275682614,67.2735,1.3423
303250876,67.6307,1.20263
333575964,67.9181,1.23356
366933561,68.1553,1.12283
403626918,68.261,1.14082
443989610,68.4679,1.16042
488388572,68.5304,1.13198
537227430,68.7064,1.15887
590950173,68.7151,1.13406
650045191,68.6614,1.14005
715049711,68.7902,1.14483
786554683,68.8498,1.22143
865210152,68.9179,1.16619
951731168,69.0131,1.13602
1046904285,69.1078,1.21645
1151594714,68.9106,1.09825
1266754186,68.9691,1.19061
1393429605,69.0598,1.20394
1532772566,69.1096,1.2066
1686049823,69.3068,1.19463
1854654806,69.3473,1.21596
2040120287,69.1984,1.19285
2244132316,69.4154,1.13212
2468545548,69.3567,1.18459
2715400103,69.4054,1.24659
2986940114,69.3915,1.22164
3285634126,69.743,1.16423
3614197539,70.07,1.13177
3975617293,70.2975,1.17101
4373179023,70.4854,1.19449
4810496926,70.7217,1.17037
5291546619,70.9711,1.19907
5820701281,71.7379,1.18397
